,latitude,longitude,cluster
0,45.761017477203666,4.826933738601843,cluster0
1,45.75918528368714,4.829037677305007,cluster1
2,45.7623258122744,4.822525180505452,cluster2
3,45.767498084290274,4.833651628352491,cluster3
4,45.757691124260916,4.832384970414186,cluster4
5,45.76283131067953,4.827474635922325,cluster5
6,45.76796370463052,4.836050563204006,cluster6
7,45.76034697217628,4.83090523731587,cluster7
8,45.769087656529706,4.829418425760305,cluster8
9,45.75666979362132,4.839815384615369,cluster9
10,45.760664682539485,4.835434523809547,cluster10
11,45.7602621951217,4.832516056910564,cluster11
12,45.76556751054825,4.827663291139238,cluster12
13,45.770026548672824,4.832479424778774,cluster13
14,45.77430666666681,4.806286666666651,cluster14
15,45.760269320843065,4.834010304449663,cluster15
16,45.77202250000003,4.831956500000002,cluster16
17,45.76379387186611,4.836062395543168,cluster17
18,45.76510985915476,4.8332929577464805,cluster18
19,45.75778571428558,4.826136857142848,cluster19
20,45.767038194444375,4.830414930555557,cluster20
21,45.77129225352139,4.834810915492965,cluster21
22,45.76998062015534,4.836102713178298,cluster22
23,45.75979841897247,4.81985889328064,cluster23
24,45.76284462151393,4.831658167330683,cluster24
25,45.75617948717944,4.835247008547017,cluster25
26,45.761680000000226,4.857786499999998,cluster26
27,45.75907772020732,4.840174611398959,cluster27
28,45.760691489361925,4.859288829787231,cluster28
29,45.77705524861886,4.854973480662985,cluster29
30,45.74879881656799,4.825723668639053,cluster30
31,45.76590361445774,4.840768072289152,cluster31
32,45.76130487804872,4.853462804878049,cluster32
33,45.77467701863347,4.835137267080746,cluster33
34,45.762857142857115,4.850934161490678,cluster34
35,45.76018238993724,4.847366037735844,cluster35
36,45.77365189873429,4.85571075949367,cluster36
37,45.77787898089177,4.856862420382165,cluster37
38,45.751931506849346,4.8365671232876695,cluster38
39,45.777744827586275,4.84628965517242,cluster39
40,45.74184507042263,4.816730985915492,cluster40
41,45.76395774647897,4.840744366197178,cluster41
42,45.738112676056325,4.814757042253526,cluster42
43,45.784085106382925,4.852790070921985,cluster43
44,45.768707142857174,4.840916428571428,cluster44
45,45.75091044776133,4.827773134328358,cluster45
46,45.767992366412244,4.875800000000015,cluster46
47,45.77446923076918,4.831848461538458,cluster47
48,45.77685600000005,4.844946400000003,cluster48
49,45.75768032786881,4.8218237704918,cluster49
50,45.77876991150445,4.853688495575221,cluster50
51,45.753589285714284,4.828041071428571,cluster51
52,45.77032000000005,4.826636000000001,cluster52
53,45.77496999999996,4.854137999999999,cluster53
54,45.77207216494844,4.808393814432993,cluster54
55,45.76656701030928,4.879541237113403,cluster55
56,45.773402173913006,4.851818478260865,cluster56
57,45.75421739130438,4.8308847826086945,cluster57
58,45.77364835164833,4.828275824175826,cluster58
59,45.78036781609194,4.849935632183909,cluster59
60,45.74901333333327,4.803031999999996,cluster60
61,45.74101428571432,4.8190885714285745,cluster61
62,45.776828571428574,4.833281428571425,cluster62
63,45.76791428571428,4.817570000000001,cluster63
64,45.75317910447758,4.834217910447761,cluster64
65,45.785031746031756,4.857112698412697,cluster65
66,45.74547540983609,4.841845901639344,cluster66
67,45.74489999999994,4.8708083333333345,cluster67
68,45.76735593220342,4.82045593220339,cluster68
69,45.72772881355933,4.8306135593220345,cluster69
70,45.75910714285719,4.8522196428571425,cluster70
71,45.751537037037004,4.844088888888889,cluster71
72,45.75900000000004,4.854170370370371,cluster72
73,45.7670925925926,4.859094444444445,cluster73
74,45.78413725490198,4.860596078431374,cluster74
75,45.7647959183674,4.857167346938775,cluster75
76,45.770489361702104,4.862702127659575,cluster76
77,45.74834782608698,4.833519565217392,cluster77
78,45.751177777777755,4.830164444444446,cluster78
79,45.73600000000005,4.8553,cluster79
80,45.73823255813957,4.865020930232554,cluster80
81,45.78327499999998,4.874915,cluster81
82,45.749973684210524,4.850021052631576,cluster82
83,45.735805555555594,4.838663888888887,cluster83
